user,data_point,mse
user6,1,0.035721373
user6,2,0.03626045
user6,3,0.03654335
user6,4,0.034662258
user6,5,0.040386897
user6,6,0.031804893
user6,7,0.034520186
user6,8,0.030703966
user6,9,0.030840937
user6,10,0.032300834
user6,11,0.031857632
user6,12,0.0315283
user6,13,0.03074647
user6,14,0.031545732
user6,15,0.03587135
user6,16,0.040258486
user6,17,0.0353075
user6,18,0.03449012
user6,19,0.03311804
user6,20,0.031506564
user6,21,0.032562904
user6,22,0.03437783
user6,23,0.03602337
user6,24,0.03732601
user6,25,0.038291715
user6,26,0.038779654
user6,27,0.038264465
user6,28,0.035825044
user6,29,0.031888876
user6,30,0.03185166
user6,31,0.031381216
user6,32,0.030971728
user6,33,0.031127734
user6,34,0.030696776
user6,35,0.030709188
user6,36,0.030717153
user6,37,0.030807205
user6,38,0.03211733
user6,39,0.034739662
user6,40,0.039222024
user6,41,0.032282107
user6,42,0.031633988
user6,43,0.031226773
user6,44,0.03260003
user6,45,0.035537653
user6,46,0.037322436
user6,47,0.038275056
user6,48,0.039030317
user6,49,0.03944473
user6,50,0.039208166
user6,51,0.036792096
user6,52,0.033959217
user6,53,0.034168027
user6,54,0.034402166
user6,55,0.03263611
user6,56,0.031903327
user6,57,0.03122888
user6,58,0.030756423
user6,59,0.030779101
user6,60,0.030989844
user6,61,0.030886421
user6,62,0.032240324
user6,63,0.036600783
user6,64,0.037001237
user6,65,0.03539369
user6,66,0.032490518
user6,67,0.0309107
user6,68,0.033151206
user6,69,0.0349487
user6,70,0.03653032
user6,71,0.037824184
user6,72,0.03862933
user6,73,0.039377525
user6,74,0.039063472
user6,75,0.039169617
user6,76,0.03728767
user6,77,0.03246524
user6,78,0.032679506
user6,79,0.031063767
user6,80,0.031374812
user6,81,0.031546805
user6,82,0.03169257
user6,83,0.031475335
user6,84,0.03075486
user6,85,0.03156851
user6,86,0.03266661
user6,87,0.035348073
user6,88,0.03654049
user6,89,0.03390165
user6,90,0.031590827
user6,91,0.030885398
user6,92,0.033614367
user6,93,0.035179257
user6,94,0.03658607
user6,95,0.037829623
user6,96,0.038719084
user6,97,0.03945035
user6,98,0.038918085
user6,99,0.040006034
user6,100,0.039439127
user6,101,0.034435254
user6,102,0.03221964
user6,103,0.031415813
user6,104,0.031760436
user6,105,0.031869646
user6,106,0.031142447
user6,107,0.03117359
user6,108,0.030932467
user6,109,0.030701952
user6,110,0.031058334
user6,111,0.032238957
