architecture,train_time,avg_time_epoch,mse,mse_std,rmse,rmse_std,mape,mape_std,mae,mae_std
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,3.5589972337086997,3.4690579573313394,0.019289263834555943,0.0002208271128862093,0.1388842761516571,0.0007960349024296096,46155.223958333336,3573.128766293843,0.07520871857802074,0.0030982239842821955
BiLSTM_L1_U8,3.2816017468770347,3.199139674504598,0.03384153296550115,0.0006647134569308904,0.1839547703663508,0.0018065903268937068,104128.140625,16324.712179506056,0.07346975058317184,0.004125226028964948
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,3.3820439179738364,3.3022662003835044,0.013280701202650865,0.0005383322789436343,0.11522629360357921,0.002324453661427911,95791.2734375,8398.211623136202,0.0666198084751765,0.002279434694470696
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,23.084044377009075,22.981577078501385,0.019182780136664707,0.0002375545843469662,0.13850014905134836,0.0008562355913760754,134882.7265625,8843.139818307203,0.10313212871551514,0.0006192446570328923
BiLSTM_L1_U8,,,,,,,,,,
BiLSTM_L1_U8,2.9092663129170737,2.8313523133595786,0.019475009913245838,0.0010872821297971292,0.13951612015565237,0.003923372752468283,487870.4895833333,91274.49016325879,0.0960746059815089,0.001372785192288957
BiLSTM_L1_U8,,,,,,,,,,
